# airline	from	to	codeshare	stops	equipment
# Date: 2014-06-28
2Z	RAO	PLU		0	AT7
2Z	RAO	SJP		0	AT7
2Z	RAO	UDI		0	AT7
2Z	SJP	RAO		0	AT7
2Z	SSA	BRA		0	AT7
2Z	SSA	VDC		0	AT7
2Z	UBA	GRU		0	AT7
2Z	UBA	UDI		0	AT7
2Z	UDI	GRU		0	AT7
2Z	UDI	GYN		0	AT7
2Z	UDI	RAO		0	AT7
2Z	UDI	UBA		0	AT7
2Z	VDC	GRU		0	AT7
2Z	VDC	SSA		0	AT7
3E	BRL	ORD		0	CNC
3E	BRL	STL		0	CNC
3E	DEC	ORD		0	CNC
3E	DEC	STL		0	CNC
3E	JBR	STL		0	CNC
3E	ORD	BRL		0	CNC
3E	ORD	DEC		0	CNC
3E	STL	BRL		0	CNC
3E	STL	DEC		0	CNC
3E	STL	JBR		0	CNC
3F	CGA	HYL		0	DHP
3F	CGA	KTN		0	DHP
3F	HYL	CGA		0	DHP
3F	HYL	KTB		0	DHP
3F	HYL	KTN		0	DHP
3F	KTB	HYL		0	DHP
3F	KTB	KTN		0	DHP
3F	KTN	CGA		0	DHP
3F	KTN	HYL		0	DHP
3F	KTN	KTB		0	DHP
3F	KTN	MTM		0	DHP
3F	MTM	KTN		0	DHP
3G	ACC	DKR		0	319
3G	ACC	LOS		0	319
3G	ACC	ROB		0	319
3G	BCN	BJL		0	319
3G	BJL	BCN		0	319
3G	BJL	DKR		0	319
3G	BJL	FNA		0	319
3G	CKY	OXB		0	319
3G	DKR	ACC		0	319
3G	DKR	BJL		0	319
3G	DKR	DLA		0	319
3G	DKR	FNA		0	319
3G	DKR	LOS		0	319
3G	DKR	OXB		0	319
3G	DLA	DKR		0	319
3G	DLA	LOS		0	319
3G	FNA	BJL		0	319
3G	FNA	DKR		0	319
3G	FNA	LGW		0	319
3G	FNA	ROB		0	319
3G	LGW	FNA		0	319
3G	LOS	ACC		0	319
3G	LOS	DKR		0	319
3G	LOS	DLA		0	319
3G	LOS	ROB		0	319
3G	OXB	CKY		0	319
3G	OXB	DKR		0	319
3G	ROB	ACC		0	319
3G	ROB	FNA		0	319
3G	ROB	LOS		0	319
3H	AKV	YIK		0	DH8
3H	AKV	YPX		0	DH8
3H	XGR	YVP		0	DHT BET
3H	YGL	YGW		0	DHT
3H	YGL	YPX		0	73M
3H	YGL	YUL		0	73M
3H	YGW	YGL		0	DHT
3H	YGW	YPH		0	BET
3H	YGW	YSK		0	DH8
3H	YGW	YUD		0	DH8
3H	YGW	YUL		0	DH8
3H	YGW	YUY		0	DH8
3H	YIK	AKV		0	DH8
3H	YIK	YZG		0	DH8
3H	YKG	YPJ		0	DHT DH8
3H	YKG	YQC		0	DH8
3H	YKG	YVP		0	DH8 DHT
3H	YKL	YQB		0	DH8
3H	YKL	YVP		0	DH8 BET
3H	YKL	YWK		0	BET
3H	YKL	YZV		0	BET DH8
3H	YPH	YPX		0	DH8 BET
3H	YPH	YUD		0	DH8
3H	YPH	YVP		0	BET
3H	YPJ	YKG		0	DHT DH8
3H	YPJ	YTQ		0	DHT DH8
3H	YPJ	YVP		0	DHT
3H	YPX	AKV		0	DH8
3H	YPX	YGL		0	73M
3H	YPX	YPH		0	DH8
3H	YPX	YVP		0	BET
3H	YQB	YKL		0	DH8
3H	YQB	YUL		0	DH8
3H	YQC	YKG		0	DH8
3H	YQC	YWB		0	DH8
3H	YSK	YGW		0	DH8
3H	YSK	YUD		0	DH8
3H	YTQ	YPJ		0	DHT DH8
3H	YTQ	YVP		0	DHT DH8
3H	YUD	YGW		0	DH8
3H	YUD	YPH		0	DH8
3H	YUD	YSK		0	DH8
3H	YUL	YGL		0	73M
3H	YUL	YGW		0	DH8
3H	YUL	YQB		0	DH8
3H	YUL	YUY		0	DH8
3H	YUY	YGW		0	DH8
3H	YUY	YUL		0	DH8
3H	YVP	XGR		0	DHT BET
3H	YVP	YGW		0	BET
3H	YVP	YKG		0	DH8
3H	YVP	YKL		0	DH8 BET
3H	YVP	YPH		0	BET
3H	YVP	YPJ		0	DHT
3H	YVP	YPX		0	BET
3H	YVP	YTQ		0	DHT DH8
3H	YWB	YQC		0	DH8
3H	YWB	YZG		0	DH8
3H	YWK	YKL		0	BET
3H	YWK	YZV		0	BET
3H	YZG	YIK		0	DH8
3H	YZG	YWB		0	DH8
3H	YZV	YKL		0	BET DH8
3H	YZV	YWK		0	BET
3J	JIB	DXB		0	737
3J	JIB	JED		0	737
3J	JIB	MGQ		0	737
3J	MGQ	NBO		0	737
3J	NBO	MGQ		0	737
3K	BKK	SIN		0	320
3K	DRW	SIN		0	320
3K	HAK	SIN		0	320
3K	HGH	SIN		0	320
3K	HKG	SIN		0	320
3K	HKT	SIN		0	320
3K	KIX	MNL		0	320
3K	KIX	TPE		0	320
3K	KUL	SIN		0	320
